ID;TOTAL_NF_ENTRADA;IDADE;SXE;SXA;FUZZYNUMBER;FUZZYLABEL
49cb28e2a74311276f86663c464fbd7d57c21a2a8fa81acab3a66cb45f651aa9;389481,97;5,53;0,035;0,001;0,831818182;Muito Provável
112e7f901ea12f5bfd6951d0d8729d7bde42062cf625ea94da5bdb076c989a8a;37184,69;181,28;0,028;0,177;0,860299516;Pouco Provável
8bf4d35a18f05acaefd3e37fca78def36eaa7515d12b64f21744169516c74c8d;46836355,1;189,34;0,337;0;0,790413026;Muito Provável
69acefe78ce65f791fa4e03dca35f76d1f83f0108813f0a72b54278d3ddef060;18983497,97;41,5;0,247;0;0,816257672;Muito Provável
26f1b4bc3ee7dc709ff9c30be188eb2c4fdd28969fa67ffd92de7eac5688c973;218646,57;8,82;0,018;0,035;0,826863354;Muito Provável
771eaf181989369711032b2a7b7b4a75a04e61a97e4e26f33ddf88d2782d186a;1076883,72;45,37;0,826;0,003;0,821794872;Muito Provável
05db5c8a0e998604afd8ed40484f9b4ca302daabecfcd63bc005b47cded29eeb;146176484,5;87,5;0,784;0;0,833333333;Muito Provável
9dabdcecbdb5d6ba88978905aeb4ae572fc93dd2f341fe9c709ea787a132211c;73467,89;40,34;0,002;0,048;0,827777778;Muito Provável
d4a190b64e7f714595d0937881829b7f2c407676ff923774b8ffc2e42187737c;3740;362,34;0,001;0,006;0,795833333;Provável
88d2db7634411ffe3e5ca80b6e5357388931344cd3778738e6b46686a3c18a9e;79065,19;52,24;0,025;0,016;0,777718381;Muito Provável
17b1d978aeaaba240b45ddceb08ecc085115bf9cab2244b7db00f3384566e086;42329,39;14,53;0,028;0,007;0,785294118;Muito Provável
4a2f3e93cb9f7e2f818909a6d42b9c5ddf916e92e8168b4c0fa35d9988322c6a;183141,2;157,66;0,038;0,021;0,25;Provável
9a3795a400ee8642bbd1f23531ba0fb590a3de32de638c0c7c11fefc45b15479;404231,75;146,08;0,017;0,011;0,760704875;Muito Provável
0ad04510afe5524cb791a929def65c5573e5e9f5ccabb6f51ce1426291ddc570;4837435,27;139,82;0,29;0,086;0,804840398;Provável
afca1b41bc37baa8d471c2b9f218fa1bb8fd707ed810674adfceb5a8f958c43f;197360,15;79,18;0,006;0,155;0,859086958;Pouco Provável
49c9b30da706b6db8c54761ab7b70bcf56808d49caf110fd86b10652ef854645;570,8;3,47;0,002;0;0,833333333;Muito Provável
ddff3a736dd29cddb3bc0fa1b27a8e3fafc9ec3d476879b62bd34116f2fa9406;5292408,52;176,21;0,074;0;0,805555556;Muito Provável
7f29bac1454da066a9aa0d6987bbc8791ccca94f76bc201b5b513bc38afbd0d0;25899,74;1,47;0,014;0;0,833333333;Muito Provável
dc11327b41c673068d4313f262f29ea1491735f1746230b26d91f592d30d3988;30190,88;191,47;0,042;0,001;0,831818182;Muito Provável
a5c0865b382eb89337b7d95d5813fcd93b7090937e9d2d9939461606370767c7;13550008,57;232;0,206;0,033;0,823424462;Provável
a2dc8f90140b1589b730bfe29673e39ecf5e6e2f44fbca02fa30e54e81513500;51116,02;210,6;0,048;0,092;0,901587302;Pouco Provável
3cf11ca971c7da0a6e7acc41e68872e03b7ff6b5b04385e3553819c2062a59a3;1834760,63;72,79;0,068;0,081;0,807838983;Provável
b6b2e14b4b09056a0018578f00bb60e96b5204b80f3eb754922d0137406581e7;508421,02;192,57;0,011;0,069;0,50434282;Pouco Provável
6f72a8a7ad85675a717756705bccf4343d48bd54c1e992e029a90df71cd8c690;251211,79;66,79;0,058;0,028;0,812604752;Muito Provável
be412afff8466a13e02224458ecbaca8287271b68e30d64c271181b9ed1c533c;141606,34;179,21;0,055;0,003;0,805555556;Muito Provável
e8936ea677544fb164b34b350e154fa1619d3e39437c9425793ed50fb9ee7a8b;397724,88;69,53;0,257;0,009;0,548565647;Muito Provável
a4299c69006dee65a189dddc310e50dbbe8ca59d3026943d2fc5c32397e01b66;34300;69,6;0,037;0,001;0,831818182;Muito Provável
9957fe8b691a888fa1f4e51617f755632821e5e6087143a26c316bc7b0fd7005;56815,56;143,18;0,076;0,072;0,785294118;Provável
a16ee97abff7192c7794e4f87348650d30c5e174ae2530888932bd9a11def50b;185092,58;5,82;0,042;0;0,833333333;Muito Provável
1f20dfb5fef6ddcadc0c02b39648b33347fccf68383c12630bb7f29362ed4aa6;36194626,33;503,69;0,014;0,008;0,774074074;Provável
fbf5bfc12187a00385cacaec944f4da55e9807f81d2b50440a22b0695b9eb350;32366,98;350,69;0,019;0,001;0,324321459;Provável
458de422a746efc245cc813b161f7e0ca1cc1c79e773477b46db976dc188392e;190147,66;210,6;0,009;0,115;0,895021645;Pouco Provável
8a96e179808c759fb765af1ebfab53f3aa103cc50c604447415b9fab91a947ed;1839500;251,37;0,405;0,01;0,757174274;Provável
bf22834387a631c02ea27d716050318ee33e5fa0ce6624e389c367302b35d02d;36051,95;9,47;0,034;0,007;0,785294118;Muito Provável
05fe412b10b73d212103b3da623d29023af93fa83c53151332073ad34a195860;326891,92;143,34;0,168;0,592;0,881497446;Pouco Provável
930057f5c46229ce4129779dccfd9f21f8c434256e43f3588cce6b7d330f9708;814,81;106,11;0,001;0;0,833333333;Muito Provável
0f688d8e3b1ae22c9dd4a6e048b438333cd242555d8154ad04104089d0c4a86a;46186,46;56,37;0,048;0;0,833333333;Muito Provável
f54e1e9065686f7ebde8fed378a33f60c2b58b54784666ae55aa94ab5069aea8;942593,25;274;0,029;0;0,825;Muito Provável
d02e71900f524208c30125482d16be28ccf2a5bd0fcb7a0d84c69a71c5eaa098;114417,68;109,15;0,01;0;0,833333333;Muito Provável
777037b5d9a62368c4848c73be3e5c193d480609d9f23690b775246c1104bc7b;77037,83;189;0,026;0,088;0,717649395;Pouco Provável
